university,career,inscription_date,first_name,last_name,gender,age,location,email
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,20/Dec/30,Amanda,foster,F,53,Calchaqui,Rward@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Oct/16,Robert,leonard,M,67,Villa-olivari,Gonzalezlisa@yahoo.com
-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,21/Jan/09,Diana,elliott,F,43,Colonia-barga,Marysmith@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,21/Jan/02,Anthony,romero,M,62,Valle-hondo,Heatherwalters@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-administración-,21/Jan/24,Sonya,sandoval,F,54,Colonia-tacurales,Leejohn@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-y-tecnología-de-alimentos,20/Oct/16,Jeffrey,suarez,M,58,Alto-de-sierra,Paulacasey@hotmail.com
-universidad-abierta-interamericana,Ciencias-veterinarias,20/Sep/04,Samuel,chaney,M,44,Villa-santos-tesei,Velliott@gmail.com
-universidad-abierta-interamericana,Agronomía,21/Jan/24,Gregory,young,M,74,Berraondo,Johnsontracy@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,20/Nov/03,Leon,boyd,M,15,Baigorrita,Jennawilson@gmail.com
-universidad-abierta-interamericana,Ingeniería-electrónica,21/Jan/16,Ralph,owen,M,58,Arturo-segui,Dthomas@hotmail.com
-universidad-abierta-interamericana,Ingeniería-mecánica,20/Sep/10,Christy,knight,F,89,Kilometro-112,Natalie64@gmail.com
-universidad-abierta-interamericana,Diseño-industrial,20/Oct/20,Sean,lindsey,M,59,Balneario-los-angeles,Mmiles@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-sociología-,20/Nov/25,Jamie,evans,F,10,Campo-la-riviere,Matthewmyers@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,20/Dec/21,Kyle,keith,M,8,Adela-corti,Richardthompson@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-planificación-y-diseño-del-paisaje,20/Nov/25,April,simon,F,13,Barranqueras,William33@yahoo.com
-universidad-abierta-interamericana,Agronomía,20/Oct/04,Sara,richards,F,6,Canal-15-cerro-de-la-gloria,Melaniekidd@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-y-tecnología-de-alimentos,20/Nov/19,Jonathan,butler,M,35,Banfield,Joseph05@yahoo.com
-universidad-abierta-interamericana,Contador-público-,20/Nov/29,Mrs.,ashley,F,43,Aldea-maria-luisa,Gentryandrew@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-y-tecnología-de-alimentos,20/Oct/06,Julia,aguilar,F,81,Alegre,Hudsonjorge@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,21/Jan/04,Rachel,bautista,F,18,El-carbalino,Mwoodard@hotmail.com
-universidad-abierta-interamericana,Farmacia,20/Sep/06,Danielle,porter,F,93,Amambay,Ylynch@hotmail.com
-universidad-abierta-interamericana,Ciencias-veterinarias,21/Jan/30,Robert,schneider,M,25,El-hoyo,Brownmeghan@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,20/Sep/22,Christopher,burke,M,33,Cañada-la-negra,Nichole90@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,20/Oct/03,Michael,schultz,M,65,Agua-blanca,Stephaniewells@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,20/Nov/17,Jocelyn,davis,F,41,Martin-coronado,Zcombs@yahoo.com
-universidad-abierta-interamericana,Técnico-para-bioterios-,21/Jan/18,Susan,gardner,F,96,Alfredo-peña,Hadams@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-biológicas,21/Jan/17,Terrence,savage,M,50,Acheral,Denise94@yahoo.com
-universidad-abierta-interamericana,Arquitectura,20/Oct/12,Benjamin,lewis,M,26,Gobernador-moyano,Williamdixon@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Oct/09,Andrew,torres,M,69,Aldea-beleiro,Sarah53@hotmail.com
-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,20/Oct/23,Pamela,irwin,F,78,D-orbigny,Angeladickerson@gmail.com
-universidad-abierta-interamericana,Medicina,21/Jan/24,Krista,martinez,F,59,25-de-mayo,Jerrycarson@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-computación,20/Sep/06,Alicia,wise,F,9,Campo-la-flor-los-ralos,Cabreralaurie@hotmail.com
-universidad-abierta-interamericana,Arquitectura,20/Sep/09,Travis,weiss,M,39,Alpasinche,Jeremycarter@yahoo.com
-universidad-abierta-interamericana,Agronomía,20/Sep/12,Christina,roberts,F,38,San-fernando,Dakotawilson@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Nov/14,Nicole,brown,F,84,El-tropezon,Tiffanyadkins@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,20/Sep/22,Shannon,owen,F,14,Agustin-roca,Tmacias@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,21/Jan/03,Lori,wheeler,F,96,Lomas-de-zamora,Hknight@yahoo.com
-universidad-abierta-interamericana,Arquitectura,21/Jan/03,Michelle,smith,F,12,Angosto-del-perchel,Jamieramirez@hotmail.com
-universidad-abierta-interamericana,Ciencias-veterinarias,21/Jan/08,Erin,cross,F,60,Barrio-emir-ramon-juarez,Ccunningham@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,20/Dec/15,Juan,gonzalez,M,71,Bigand,Gcarlson@yahoo.com
-universidad-abierta-interamericana,Bioquímica,20/Sep/01,Frank,bautista,M,15,Adan-quiroga,Wallsnathan@hotmail.com
-universidad-abierta-interamericana,Farmacia,20/Nov/01,Rebecca,gilbert,F,75,Aldea-maria-luisa,Juan94@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,20/Sep/23,Edward,lewis,M,7,Mecha,Dmartin@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-planificación-y-diseño-del-paisaje,21/Jan/04,Russell,odonnell,M,3,Campamento-sol,Nicholasmeza@hotmail.com
-universidad-abierta-interamericana,Contador-público-,20/Sep/14,Katie,lowe,F,18,Ingeniero-adolfo-sourdeaux,Rebecca30@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,20/Sep/08,Aaron,pope,M,30,Aconquija,Stewartlindsey@gmail.com
-universidad-abierta-interamericana,Actuario-,20/Oct/21,Patricia,bailey,F,95,Granadero-baigorria,Uaguirre@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,20/Nov/02,Kelly,hogan,M,85,El-sombrerito,Donna19@hotmail.com
-universidad-abierta-interamericana,Agronomía,20/Oct/26,Kayla,orozco,F,43,Santa-teresita,Robertoconnor@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,21/Jan/14,Richard,garcia,M,18,La-legua,Mary69@gmail.com
-universidad-abierta-interamericana,Ingeniería-electrónica,20/Oct/30,Matthew,obrien,M,51,Arbuco,Isaac40@gmail.com
-universidad-abierta-interamericana,Ingeniería-mecánica,21/Jan/01,Sandra,smith,F,59,Cabaña-el-cisne,Mikepope@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,21/Jan/14,Katie,green,F,27,Abralaite,Starklynn@gmail.com
-universidad-abierta-interamericana,Ingeniería-mecánica,20/Nov/16,Breanna,rollins,F,24,Haras-san-jacinto,Leestacy@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-terapia-ocupacional,20/Oct/27,Robert,mann,M,15,Albigasta,Mcclainlaura@hotmail.com
-universidad-abierta-interamericana,Ciencias-veterinarias,20/Oct/24,Daniel,stone,M,31,Colonia-devoto,Nixonsergio@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Sep/19,Steven,cox,M,10,Florentino-ameghino,Scottmegan@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,20/Dec/05,Ashley,matthews,F,46,Asuncion,Zparker@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Dec/15,Derek,dougherty,M,31,Faro-querandi,Barkerelizabeth@gmail.com
-universidad-abierta-interamericana,Ingeniería-mecánica,20/Oct/29,Anna,richardson,F,19,Claverie,Armstrongwendy@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,20/Sep/16,Kyle,sosa,M,41,Sey,Megan71@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Oct/23,Donna,glenn,F,80,Bosques,Stephen50@gmail.com
-universidad-abierta-interamericana,Arquitectura,21/Jan/11,Suzanne,watts,F,29,28-de-noviembre,Hortonmatthew@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-psicología,20/Sep/10,Mr.,colin,M,91,Colonia-nueva-montevideo,Martinezjessica@yahoo.com
-universidad-abierta-interamericana,Ingeniería-mecánica,20/Sep/12,Keith,price,M,19,Alizal,Wilsonkimberly@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-administración-,21/Jan/18,Erica,clark,F,73,Alpatacal,Bgilbert@gmail.com
-universidad-abierta-interamericana,Diseño-industrial,20/Oct/18,Gina,miller,F,39,San-bernardo-del-tuyu,Greyes@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Dec/28,Jennifer,nichols,F,75,Alto-del-saladillo,Gregory99@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-administración-,20/Sep/06,Kathleen,acevedo,F,29,Colonia-santa-rosa,Stephanie82@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-planificación-y-diseño-del-paisaje,20/Sep/17,Daniel,young,M,6,11-de-septiembre,Manninglindsey@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,20/Sep/16,Spencer,davidson,M,23,Alijilan,April62@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-artes,20/Sep/16,Philip,watkins,M,75,9-de-julio,Pkirk@gmail.com
-universidad-abierta-interamericana,Arquitectura,21/Jan/23,Debra,morris,F,90,Agua-cercada,Lbrown@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-planificación-y-diseño-del-paisaje,20/Nov/17,Meghan,underwood,F,4,Roldan,Perkinsjessica@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,20/Dec/15,Andrea,russell,F,2,Condarco,Wnelson@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-planificación-y-diseño-del-paisaje,21/Jan/12,Jeffery,phillips,M,79,Estacion-yerua,Jonathan88@yahoo.com
-universidad-abierta-interamericana,Ciencias-veterinarias,20/Oct/29,David,white,M,53,Anguinan,Larry50@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,20/Sep/29,Robert,martin,M,31,Acassuso,Thomascastillo@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-sociología-,20/Sep/30,Sherry,hernandez,F,69,El-talar,Lchavez@hotmail.com
-universidad-abierta-interamericana,Actuario-,20/Dec/05,Monica,larsen,F,19,Chelforo,Shelleyjordan@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-administración-,20/Dec/06,Michael,jones,M,92,Candelaria-sud,Fgeorge@yahoo.com
-universidad-abierta-interamericana,Arquitectura,21/Jan/13,Makayla,bray,F,30,Colonia-valdez,Emilyleach@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-computación,20/Oct/26,Linda,williams,F,1,Costa-del-rio-azul,Graymichael@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,20/Sep/19,Collin,patrick,M,9,Arroyo-molino,Xperez@gmail.com
-universidad-abierta-interamericana,Contador-público-,20/Dec/21,Alexis,carter,F,72,Colonia-alvear,Daniel01@yahoo.com
-universidad-abierta-interamericana,Ingeniería-mecánica,20/Oct/28,Steven,tapia,M,54,El-guanaco,Daniel73@yahoo.com
-universidad-abierta-interamericana,Contador-público-,20/Nov/18,Miguel,saunders,M,7,Bonpland-norte,Dcoffey@yahoo.com
-universidad-abierta-interamericana,Ingeniería-mecánica,21/Jan/05,Karen,lane,F,48,Carlos-tejedor,Wilsonbenjamin@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,20/Nov/13,Caleb,gray,M,44,Arroyo-balmaceda,Mgarcia@yahoo.com
-universidad-abierta-interamericana,Bioquímica,20/Oct/13,Shannon,adams,F,57,Arroyo-canelon,Faith29@yahoo.com
-universidad-abierta-interamericana,Diseño-industrial,20/Sep/26,David,berg,M,3,Juan-e-barra,Reyescassie@yahoo.com
-universidad-abierta-interamericana,Diseño-industrial,20/Sep/12,Justin,luna,M,61,Cañadon-seco,Brandon58@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,20/Nov/18,Brandon,pineda,M,43,Catua,Dustin07@hotmail.com
-universidad-abierta-interamericana,Diseño-industrial,20/Nov/30,Andrew,smith,M,12,Base-aerea-teniente-matienzo,Dgamble@yahoo.com
-universidad-abierta-interamericana,Diseño-industrial,20/Sep/06,Dominic,kemp,M,72,Kilometro-77,Zwolf@hotmail.com
-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,20/Nov/13,Ashley,hebert,F,4,La-torrecita,Bergdavid@yahoo.com
-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,20/Sep/12,Mr.,johnathan,M,38,San-andres,Tgilmore@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-psicología,20/Oct/31,Nicole,davis,F,16,Alfredo-demarchi,Herrerasara@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-terapia-ocupacional,21/Jan/11,Jenny,perez,F,13,Ariel,Donald99@gmail.com
-universidad-abierta-interamericana,Arquitectura,20/Dec/16,William,barker,M,59,Alto-verde,Amberbowen@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,20/Oct/09,Kimberly,mcdonald,F,48,Garcia-del-rio,Allenheather@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-artes,20/Oct/24,Debbie,short,F,15,Fortin-lavalle,Jade48@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,20/Nov/29,Joseph,thomas,M,9,Don-torcuato,Stephen30@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-educación-,20/Dec/06,Laura,mcdonald,F,63,Gobernador-lanusse,Fcoleman@gmail.com
-universidad-abierta-interamericana,Arquitectura,20/Dec/06,Laura,johnson,F,12,Colonia-alberdi,Martinezcarolyn@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-artes,20/Nov/15,Jessica,gilbert,F,48,Bolivar,Ydunn@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-artes,20/Dec/10,Debra,padilla,F,71,Arata,Pmontgomery@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-psicología,20/Sep/05,Edward,young,M,63,Bajo-grande,Ericapennington@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-sociología-,20/Nov/01,Kristen,reid,F,87,Francisco-casal,Vaughndawn@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-biológicas,21/Jan/22,Lauren,hess,F,33,Mercado-central,Micheal05@gmail.com
-universidad-abierta-interamericana,Medicina,20/Dec/07,Lori,jenkins,F,44,Barcala,Kdavis@gmail.com
-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,20/Sep/21,Regina,greer,F,49,Atreuco,Besparza@yahoo.com
-universidad-abierta-interamericana,Farmacia,20/Dec/15,Katie,wood,F,59,Aguada-alegre,Elizabethbaker@hotmail.com
-universidad-abierta-interamericana,Técnico-para-bioterios-,20/Nov/30,John,turner,M,11,Aldao,Johnsonedwin@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-ambientales,20/Oct/03,Shane,berry,M,66,Aguada-a-pique,Moralestheresa@gmail.com
-universidad-abierta-interamericana,Técnico-para-bioterios-,20/Nov/16,Isabel,hernandez,F,11,Indacochea,Dbaker@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,21/Jan/27,Chad,hart,M,13,Chañarcito,Hneal@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Nov/18,Eric,campbell,M,72,Almacen-castro,Nmiller@gmail.com
-universidad-abierta-interamericana,Ciencias-veterinarias,21/Jan/13,Caitlin,wilson,F,38,Arroyo-salado,Alexander49@yahoo.com
-universidad-abierta-interamericana,Diseño-industrial,21/Jan/20,Michelle,diaz,F,39,Zona-delta-tigre,Benjaminsmith@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-antropológicas,20/Dec/02,Sheila,king,F,75,Ciudad-madero,Coopermichael@hotmail.com
-universidad-abierta-interamericana,Bioquímica,20/Dec/06,James,miller,M,86,16-de-julio,Kara10@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-geológicas,20/Dec/08,Rachel,ross,F,10,Avellaneda,John27@hotmail.com
-universidad-abierta-interamericana,Farmacia,20/Nov/16,Tyler,rojas,M,91,Estela,Lowerymichele@gmail.com
-universidad-abierta-interamericana,Ingeniería-en-informática,20/Oct/31,Kelly,price,F,67,Campo-calvo,Ibeck@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-kinesiología-y-fisiatría,20/Dec/24,Mary,davies,F,30,Campo-sabate,Natasha48@gmail.com
-universidad-abierta-interamericana,Diseño-industrial,20/Oct/01,Nathan,shelton,M,42,Ambas-puntillas,Jamievaldez@hotmail.com
-universidad-abierta-interamericana,Agronomía,21/Jan/20,Mark,harris,M,62,Abra-pampa,Mckinneynancy@gmail.com
-universidad-abierta-interamericana,Licenciatura-en-musicoterapia,20/Sep/09,Casey,cox,M,92,Ambato,Jason33@hotmail.com
-universidad-abierta-interamericana,Ingeniería-en-informática,20/Dec/10,Jordan,blankenship,M,33,Barrio-el-molino,Johnsonlauren@yahoo.com
-universidad-abierta-interamericana,Ingeniería-en-informática,20/Nov/21,Michael,sullivan,M,7,Isla-tigre,Schmidtlisa@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-ciencias-de-la-computación,20/Nov/21,David,robinson,M,11,Agua-colorada,Jenniferrasmussen@yahoo.com
-universidad-abierta-interamericana,Ingeniería-en-informática,20/Oct/26,Daniel,olson,M,3,Iraola,Michael89@hotmail.com
-universidad-abierta-interamericana,Ingeniería-electrónica,20/Nov/03,Aaron,garcia,M,75,Arteaga,Christopherfisher@yahoo.com
-universidad-abierta-interamericana,Ciencias-veterinarias,21/Jan/13,Alexis,smith,F,94,Cabral,Danielcarly@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-relaciones-del-trabajo-,20/Nov/03,Carrie,rivera,F,74,Banderalo,Eugeneharris@hotmail.com
-universidad-abierta-interamericana,Licenciatura-en-artes,20/Dec/19,Adam,simpson,M,14,Sancti-spiritu,Garybrown@gmail.com
-universidad-abierta-interamericana,Actuario-,20/Dec/01,Trevor,yates,M,9,Capitan-bermudez,Nhuang@yahoo.com
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,20/Nov/01,Joseph,henry,M,57,Claverie,Fordjessica@hotmail.com
-universidad-abierta-interamericana,Arquitectura,20/Dec/24,Richard,johnson,M,44,Alijilan,Pamelaallen@gmail.com
