university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad de buenos aires,licenciatura en ciencias geológicas,2021-01-04,kimberly,banks,female,28,5591,alpatacal,timothyfoster@gmail.com
universidad de buenos aires,licenciatura en administración,2021-09-17,curtis,sims,male,12,8146,el rincon,joneslaura@yahoo.com
universidad de buenos aires,contador público,2021-06-12,mark,smith,male,66,3322,aparicio cue,conneranna@yahoo.com
universidad de buenos aires,ciencias veterinarias,2021-02-20,barbara,cervantes,female,13,6032,blandengues,katherine52@gmail.com
universidad de buenos aires,licenciatura en sociología,2021-06-14,jennifer,smith,female,3,5460,agua de la zorra,kathleenturner@gmail.com
universidad de buenos aires,licenciatura en ciencias antropológicas,2021-04-14,warren,osborne,male,40,4723,alijilan,hillregina@yahoo.com
universidad de buenos aires,licenciatura en terapia ocupacional,2020-11-02,stephanie,gates,female,78,6433,arturo vatteone,carlashepherd@yahoo.com
universidad de buenos aires,diseño industrial,2021-09-09,amber,mahoney,female,83,8000,adela corti,james24@yahoo.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2020-12-16,daniel,harrell,male,64,8308,villa manzano,lvelasquez@gmail.com
universidad de buenos aires,arquitectura,2021-04-29,michael,reed,male,10,7316,fortin irene,michaelpearson@yahoo.com
universidad de buenos aires,licenciatura en ciencia política,2021-11-17,bethany,donaldson,female,45,8508,ambrosio p lezica,dbarnes@gmail.com
universidad de buenos aires,contador público,2020-11-13,justin,gonzalez,male,47,5541,algarrobal abajo,oconnorbrenda@yahoo.com
universidad de buenos aires,agronomía,2021-08-31,melissa,hooper,female,7,5563,agua amarga,martinezchristina@hotmail.com
universidad de buenos aires,licenciatura en ciencias ambientales,2021-08-03,,william,male,7,6309,alpachiri,jasmin60@yahoo.com
universidad de buenos aires,ingeniería mecánica,2020-11-25,ethan,pierce,male,75,7161,labarden,reynoldsmegan@yahoo.com
universidad de buenos aires,licenciatura en terapia ocupacional,2021-10-31,michelle,moore,female,15,5446,balde de leyes,tracyjames@gmail.com
universidad de buenos aires,medicina,2020-12-24,cody,robbins,male,11,6634,alberti,hjackson@hotmail.com
universidad de buenos aires,licenciatura en ciencias de la educación,2021-11-24,thomas,pierce,male,94,6409,jose maria blanco,ryanwest@yahoo.com
universidad de buenos aires,licenciatura en ciencias antropológicas,2021-11-12,heather,hall,female,89,4151,bajo de los sueldos,orandolph@hotmail.com
universidad de buenos aires,agronomía,2021-12-30,blake,salazar,male,50,8117,alferez san martin,emoore@yahoo.com
universidad de buenos aires,licenciatura en musicoterapia,2021-08-30,madison,may,female,39,5775,bajo grande,deannamiller@hotmail.com
universidad de buenos aires,licenciatura en ciencia y tecnología de alimentos,2020-12-15,justin,lewis,male,47,3196,arroyo vega,gjensen@hotmail.com
universidad de buenos aires,medicina,2021-07-15,lisa,jacobs,female,0,2763,flamenco,joshuaross@yahoo.com
universidad de buenos aires,ingeniería mecánica,2021-11-14,maurice,baker,male,33,3553,colonia duran,robertlin@gmail.com
universidad de buenos aires,ingeniería en informática,2021-10-06,regina,thomas,female,48,9011,bahia langara,stephensleslie@gmail.com
universidad de buenos aires,licenciatura en ciencias ambientales,2021-04-22,robert,smith,male,4,5380,chamical,susannelson@hotmail.com
universidad de buenos aires,licenciatura en ciencias geológicas,2021-08-22,david,stanton,male,13,4643,antiguyos,umendez@yahoo.com
universidad de buenos aires,licenciatura en artes,2020-12-11,chelsea,bond,female,25,1614,villa de mayo,quinnlonnie@gmail.com
universidad de buenos aires,licenciatura en ciencias geológicas,2021-08-08,brian,hernandez,male,42,3701,almirante brown,veronica81@gmail.com
universidad de buenos aires,diseño de imagen y sonido,2020-11-10,michelle,mccullough,female,98,3155,costa del nogoya,jennifer34@yahoo.com
universidad de buenos aires,ingeniería electrónica,2021-11-24,bradley,butler,male,59,6365,azteazu,paige16@hotmail.com
universidad de buenos aires,bioquímica,2020-11-01,scott,cox,male,0,1636,la lucila,james05@hotmail.com
universidad de buenos aires,farmacia,2020-09-19,michael,smith,male,25,1754,san justo,alexandertiffany@gmail.com
universidad de buenos aires,ingeniería en informática,2021-01-26,brittney,smith,female,54,3226,buena vista,anne23@yahoo.com
universidad de buenos aires,actuario,2021-11-11,suzanne,flores,female,64,3515,capitan solari,melissaarmstrong@hotmail.com
universidad de buenos aires,diseño industrial,2021-09-21,ruth,george,female,66,5351,banda florida,daniellecole@hotmail.com
universidad de buenos aires,diseño industrial,2021-02-18,stephanie,guerra,female,14,2720,colon,stephensgeorge@yahoo.com
universidad de buenos aires,licenciatura en producción de bioimagenes,2021-09-26,brandy,perez,female,83,3551,campo monte la viruela,kennethlee@hotmail.com
universidad de buenos aires,ingeniería en informática,2020-09-03,ronald,martin,male,87,7533,quiñihual estacion,fgriffin@yahoo.com
universidad de buenos aires,farmacia,2021-06-10,matthew,adams,male,61,5525,buena vista,vmartin@yahoo.com
universidad de buenos aires,licenciatura en ciencias antropológicas,2021-02-21,tonya,jones,female,64,3230,arbol solo,christopher86@gmail.com
universidad de buenos aires,licenciatura en ciencias antropológicas,2021-12-13,stephanie,martin,female,22,4166,balderrama,leonardcarroll@hotmail.com
universidad de buenos aires,licenciatura en ciencia política,2020-11-08,jonathan,howell,male,62,3471,alen cue,michaelnicholson@yahoo.com
universidad de buenos aires,arquitectura,2021-02-24,lisa,garcia,female,48,3105,diamante,ychen@hotmail.com
universidad de buenos aires,licenciatura en ciencias antropológicas,2021-11-30,tanya,gomez,female,2,4119,agua colorada,amber14@yahoo.com
universidad de buenos aires,técnico para bioterios,2021-04-11,anthony,bell,male,79,1759,gonzalez catan,idavies@gmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2021-11-09,linda,thomas,female,73,6607,anasagasti,victoria19@yahoo.com
universidad de buenos aires,licenciatura en administración,2020-12-28,samantha,dixon,female,38,5831,9 de julio,jessica62@gmail.com
universidad de buenos aires,licenciatura en ciencia y tecnología de alimentos,2021-10-08,erik,clark,male,11,2613,la morocha,michael79@hotmail.com
universidad de buenos aires,licenciatura en producción de bioimagenes,2021-05-19,william,graham,male,63,4740,agua salada,jeremydickerson@hotmail.com
universidad de buenos aires,licenciatura en ciencias ambientales,2021-03-23,billy,williams,male,92,2824,britos,stantonjose@yahoo.com
universidad de buenos aires,licenciatura en planificación y diseño del paisaje,2021-04-26,james,hancock,male,16,3407,aguay,teresa07@hotmail.com
universidad de buenos aires,diseño industrial,2021-09-26,peter,lowery,male,57,6472,francisco madero,lamstacy@yahoo.com
universidad de buenos aires,agronomía,2021-06-21,caleb,ramirez,male,52,4655,cabreria,cookamy@yahoo.com
universidad de buenos aires,contador público,2021-07-29,james,smith,male,4,6616,castilla,michael12@gmail.com
universidad de buenos aires,técnico para bioterios,2021-07-06,denise,williams,female,12,3471,alen cue,lisaanthony@hotmail.com
universidad de buenos aires,licenciatura en ciencias geológicas,2021-02-09,kristin,weiss,female,8,5475,agua de la piedra,pquinn@gmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2021-11-27,michael,carter,male,95,4144,amberes,brownandrew@yahoo.com
universidad de buenos aires,licenciatura en ciencias antropológicas,2021-07-31,erin,joseph,female,39,8351,agrio balsa,joshuagarcia@gmail.com
universidad de buenos aires,agronomía,2021-05-17,michael,garcia,male,26,9303,cañadon del toro,maryherrera@gmail.com
universidad de buenos aires,licenciatura en ciencias ambientales,2021-07-26,megan,reed,female,69,8532,arroyo salado,mmoody@hotmail.com
universidad de buenos aires,ingeniería electrónica,2021-09-23,lydia,miller,female,49,2101,albarellos,andrea43@gmail.com
universidad de buenos aires,licenciatura en psicología,2020-09-17,melanie,gray,female,8,3222,buen retiro,joshua82@hotmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2021-08-06,tara,wood,female,94,8134,argerich,bjarvis@hotmail.com
universidad de buenos aires,licenciatura en musicoterapia,2021-05-18,darrell,smith,male,6,2823,aero club canal,arussell@gmail.com
universidad de buenos aires,licenciatura en producción de bioimagenes,2021-10-09,christopher,hamilton,male,34,7200,el gualicho,terri20@yahoo.com
universidad de buenos aires,licenciatura en ciencias de la educación,2020-12-08,jordan,cole,male,90,9217,cholila,deanhernandez@yahoo.com
universidad de buenos aires,licenciatura en sociología,2021-03-14,bridget,lane,female,39,3044,gobernador crespo,brandon27@gmail.com
universidad de buenos aires,licenciatura en gestión de agroalimentos,2021-11-14,dustin,austin,male,80,8379,gente grande,bhernandez@yahoo.com
universidad de buenos aires,medicina,2020-10-12,alexander,smith,male,69,1688,villa santos tesei,lsmith@hotmail.com
universidad de buenos aires,medicina,2020-10-03,amber,leonard,female,7,9407,28 de noviembre,glopez@hotmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2021-08-29,jeffery,price,male,20,1727,b los aromos san patricio,morrisjessica@yahoo.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2021-09-27,nancy,russell,female,9,7305,antonio de los heros,amorgan@yahoo.com
universidad de buenos aires,licenciatura en ciencia política,2021-07-18,zachary,bauer,male,4,5413,apeadero las chimbas,nbell@yahoo.com
universidad de buenos aires,licenciatura en ciencias antropológicas,2020-09-09,dawn,sellers,female,36,6323,algarrobo del aguila,douglasstevens@yahoo.com
universidad de buenos aires,licenciatura en planificación y diseño del paisaje,2021-10-13,amber,aguilar,female,81,6380,boeuf,sarahicks@hotmail.com
universidad de buenos aires,licenciatura en producción de bioimagenes,2021-07-21,misty,barnett,female,10,7240,kilometro 112,tnelson@gmail.com
universidad de buenos aires,licenciatura en artes,2021-01-22,joseph,reed,male,98,6233,condarco,molly37@yahoo.com
universidad de buenos aires,ingeniería en informática,2021-08-17,matthew,smith,male,74,8168,sierra de la ventana,amandaford@hotmail.com
universidad de buenos aires,licenciatura en planificación y diseño del paisaje,2021-02-19,jennifer,miller,female,26,4129,cañada,smithrobert@gmail.com
universidad de buenos aires,licenciatura en artes,2020-11-30,amanda,cardenas,female,18,1603,villa martelli,tannersara@hotmail.com
universidad de buenos aires,licenciatura en ciencia y tecnología de alimentos,2020-09-24,amanda,sawyer,female,7,7404,fortin lavalle,ricejeffrey@yahoo.com
universidad de buenos aires,licenciatura en gestión de agroalimentos,2021-08-13,douglas,salazar,male,41,6005,estacion general arenales,marcmoore@gmail.com
universidad de buenos aires,agronomía,2021-07-07,denise,lee,female,35,4624,abra mayo,benjamin69@hotmail.com
universidad de buenos aires,ingeniería mecánica,2020-11-13,tiffany,barnes,female,39,5632,colonia alvear,douglas71@hotmail.com
universidad de buenos aires,ingeniería en informática,2021-09-14,,clayton,male,65,7103,faro san antonio,qyoung@gmail.com
universidad de buenos aires,arquitectura,2021-03-24,shaun,banks,male,16,6516,amalia,vjohnson@gmail.com
universidad de buenos aires,licenciatura en ciencia política,2021-03-11,meagan,kelly,female,23,3272,colonia 1 de mayo,kathy46@yahoo.com
universidad de buenos aires,licenciatura en ciencia política,2021-07-01,amber,martinez,female,4,1847,rafael calzada,nguyenchristopher@hotmail.com
universidad de buenos aires,diseño de imagen y sonido,2021-07-13,brett,clark,male,32,3501,campo de galnasi,scott77@hotmail.com
universidad de buenos aires,licenciatura en ciencia y tecnología de alimentos,2020-10-08,james,anderson,male,17,9227,el porvenir,tristan99@hotmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2021-07-08,paul,adams,male,7,3328,colonia japonesa,vharper@hotmail.com
universidad de buenos aires,licenciatura en terapia ocupacional,2020-09-28,christopher,robertson,male,13,3315,caa yari,catherinecasey@hotmail.com
universidad de buenos aires,bioquímica,2020-09-28,jennifer,bryan,female,26,4117,alabama,debra42@yahoo.com
universidad de buenos aires,licenciatura en ciencias biológicas,2021-08-23,kathy,bryant,female,39,1889,bosques,wmonroe@gmail.com
universidad de buenos aires,arquitectura,2021-01-01,terry,pitts,male,80,5471,agua blanca,gabrielsimmons@hotmail.com
universidad de buenos aires,licenciatura en gestión de agroalimentos,2021-06-18,samantha,thomas,female,9,2915,aguirrezabala,torresgene@gmail.com
universidad de buenos aires,ciencias veterinarias,2021-01-28,sean,white,male,90,2505,campo la riviere,ustewart@gmail.com
universidad de buenos aires,bioquímica,2021-06-19,hannah,lopez,female,17,5386,amana,evansalexa@yahoo.com
universidad de buenos aires,contador público,2021-06-26,olivia,miller,female,51,4640,abra pampa,watkinseric@yahoo.com
universidad de buenos aires,licenciatura en artes,2021-03-04,brendan,mills,male,49,3485,carandaiti,elaine29@gmail.com
universidad de buenos aires,licenciatura en ciencia política,2021-07-18,richard,davila,male,23,5612,valle de las leñas,torrestimothy@gmail.com
universidad de buenos aires,licenciatura en ciencias geológicas,2021-07-18,heather,merritt,female,50,1808,alejandro petion,turnerlaura@gmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2020-12-10,mackenzie,jackson,female,38,9050,gobernador moyano,brianlewis@yahoo.com
universidad de buenos aires,bioquímica,2021-12-16,kimberly,west,female,69,8415,arroyo las minas,zbarrera@hotmail.com
universidad de buenos aires,licenciatura en ciencias ambientales,2021-03-26,elizabeth,macdonald,female,22,3218,arroyo palmar,otanner@yahoo.com
universidad de buenos aires,licenciatura en planificación y diseño del paisaje,2021-06-28,sarah,blackwell,female,89,5436,colonia zapata,david89@gmail.com
universidad de buenos aires,licenciatura en ciencias geológicas,2021-12-23,renee,pittman,female,30,6031,de bruyn,shanealvarez@yahoo.com
universidad de buenos aires,licenciatura en ciencias de la educación,2021-07-08,michael,fernandez,male,88,2344,achaval rodriguez,wrightchristie@gmail.com
universidad de buenos aires,licenciatura en psicología,2021-01-14,gregory,rios,male,42,7203,chapaleufu,haroldguzman@hotmail.com
universidad de buenos aires,medicina,2021-09-26,steve,walker,male,29,5525,buena vista,davidjones@yahoo.com
universidad de buenos aires,licenciatura en ciencias antropológicas,2021-12-10,morgan,davis,female,10,6443,arano,esullivan@hotmail.com
universidad de buenos aires,licenciatura en artes,2021-05-22,elizabeth,hill,female,79,6663,juan vela,michael05@yahoo.com
universidad de buenos aires,ingeniería mecánica,2021-12-25,carrie,stevens,female,6,3263,1 de mayo,brendan58@gmail.com
universidad de buenos aires,licenciatura en terapia ocupacional,2021-04-11,megan,bass,female,86,2718,lierra adjemiro,carl70@hotmail.com
universidad de buenos aires,ingeniería en informática,2021-09-27,deborah,allen,female,35,5881,cañada la negra,george46@gmail.com
universidad de buenos aires,licenciatura en ciencias de la computación,2020-11-26,jon,mcneil,male,99,2930,la buana moza,jacobbass@yahoo.com
universidad de buenos aires,licenciatura en ciencias biológicas,2021-04-25,sarah,roach,female,97,5467,acerillos,whoffman@hotmail.com
universidad de buenos aires,licenciatura en ciencia y tecnología de alimentos,2020-12-29,diana,watkins,female,74,3734,campo moreno,lmiles@hotmail.com
universidad de buenos aires,actuario,2021-06-21,lisa,evans,female,18,1826,remedios de escalada,christopherramos@hotmail.com
universidad de buenos aires,licenciatura en relaciones del trabajo,2021-02-13,brent,ewing,male,57,2147,san genaro norte,sallysmith@hotmail.com
universidad de buenos aires,licenciatura en administración,2021-06-02,jeremy,richardson,male,2,2637,colonia hansen,briannaharper@yahoo.com
universidad de buenos aires,ingeniería electrónica,2021-03-26,kelly,nelson,female,8,5549,agua de los manantiales,randy95@gmail.com
universidad de buenos aires,licenciatura en artes,2021-11-19,rodney,shaw,male,14,8316,balsa senillosa,afreeman@yahoo.com
universidad de buenos aires,licenciatura en sociología,2020-09-11,kathy,spears,female,2,4103,bajo de raco,louis25@yahoo.com
universidad de buenos aires,técnico para bioterios,2021-07-02,dennis,olson,male,89,6720,kilometro 125,clayandrea@gmail.com
universidad de buenos aires,diseño de imagen y sonido,2020-10-24,amanda,fowler,female,68,9033,aldea apeleg,fphillips@hotmail.com
universidad de buenos aires,actuario,2021-05-01,melissa,mitchell,female,32,6203,el olivo,hunterkathryn@hotmail.com
universidad de buenos aires,farmacia,2021-04-21,alyssa,ashley,female,67,4137,abra baya,michellerivera@gmail.com
universidad de buenos aires,licenciatura en ciencias biológicas,2020-12-17,antonio,jones,male,15,2618,carmen,zpatrick@gmail.com
universidad de buenos aires,licenciatura en relaciones del trabajo,2021-04-22,sherry,green,female,4,6022,la oriental,traci52@gmail.com
universidad de buenos aires,licenciatura en planificación y diseño del paisaje,2021-01-30,nicholas,fuller,male,95,1659,campo de mayo,jonathan83@gmail.com
universidad de buenos aires,ingeniería en informática,2021-01-08,jamie,taylor,female,18,6400,barrio indio trompa,jonesgordon@gmail.com
universidad de buenos aires,licenciatura en ciencias geológicas,2021-02-07,jimmy,hill,male,61,6748,membrillar,kruegerangelica@yahoo.com
universidad de buenos aires,licenciatura en ciencia política,2021-02-12,robin,schroeder,female,26,3550,allende,derekhill@hotmail.com
universidad de buenos aires,medicina,2020-12-06,samantha,richardson,female,75,8351,agrio balsa,edwardscorey@yahoo.com
universidad de buenos aires,licenciatura en ciencia política,2021-02-06,benjamin,jackson,male,31,3174,altamirano sud,kimberly41@hotmail.com
universidad de buenos aires,ingeniería en informática,2020-12-25,scott,castro,male,15,8332,colonia rusa,ghall@yahoo.com
universidad de buenos aires,diseño industrial,2020-10-27,thomas,brooks,male,19,1617,el talar,jaclyn17@yahoo.com
universidad de buenos aires,licenciatura en ciencias de la educación,2021-03-28,tommy,ortiz,male,26,2806,las palmas,ellispatrick@yahoo.com
universidad de buenos aires,técnico para bioterios,2020-09-30,willie,taylor,male,33,9101,alto de las plumas,victor22@gmail.com
universidad de buenos aires,licenciatura en ciencias antropológicas,2020-11-05,brian,wilson,male,92,8402,dina huapi,jonesbrandy@hotmail.com
universidad de buenos aires,ciencias veterinarias,2021-11-30,nathan,wells,male,8,7167,carilo,walkerarthur@gmail.com
universidad de buenos aires,licenciatura en relaciones del trabajo,2020-10-11,brittney,brewer,female,61,6430,adolfo alsina,lwilliams@gmail.com
universidad de buenos aires,licenciatura en relaciones del trabajo,2020-10-13,robin,carter,female,2,7174,arroyo grande,gwhite@yahoo.com
universidad de buenos aires,ingeniería en informática,2021-10-31,robert,baker,male,8,3450,8 de diciembre,xedwards@hotmail.com
universidad de buenos aires,licenciatura en terapia ocupacional,2021-07-03,sherry,proctor,female,7,2103,colonia escribano,james23@hotmail.com
universidad de buenos aires,contador público,2021-08-24,anthony,lee,male,4,2222,diaz,gregorydavis@hotmail.com
universidad de buenos aires,licenciatura en psicología,2020-09-13,jacqueline,rodriguez,female,47,6561,blanca grande,pbecker@hotmail.com
universidad de buenos aires,licenciatura en psicología,2020-12-06,ariana,torres,female,13,3518,cabral cue,pamela66@hotmail.com
universidad de buenos aires,agronomía,2021-05-30,rebecca,graham,female,57,1893,centro agricola el pato,michael05@hotmail.com
universidad de buenos aires,licenciatura en kinesiología y fisiatría,2020-09-10,brendan,jimenez,male,48,5572,alto grande,lisa86@gmail.com
universidad de buenos aires,actuario,2020-09-17,stephanie,goodman,female,35,3052,cañadita,barbara55@yahoo.com
universidad de buenos aires,agronomía,2021-04-25,jamie,washington,female,74,9000,comodoro rivadavia,toddlaura@yahoo.com
universidad de buenos aires,farmacia,2020-10-11,christine,bond,female,13,2761,estancia santa catalina,joelzamora@gmail.com
universidad de buenos aires,licenciatura en ciencias biológicas,2020-10-09,thomas,padilla,male,38,5710,la punta,jane70@yahoo.com
universidad de buenos aires,farmacia,2020-09-24,peggy,jensen,female,56,6042,dos hermanos,rebeccalogan@yahoo.com
universidad de buenos aires,licenciatura en musicoterapia,2020-10-18,christina,watson,female,14,7531,despeñaderos,fletcherpaul@hotmail.com
universidad de buenos aires,licenciatura en producción de bioimagenes,2021-09-08,mitchell,hammond,male,88,3472,caaguazu,joseph57@hotmail.com
universidad de buenos aires,licenciatura en planificación y diseño del paisaje,2021-09-21,katie,leonard,female,3,9401,el zurdo,tburns@gmail.com
universidad de buenos aires,contador público,2020-11-06,samuel,richardson,male,46,1826,remedios de escalada,rachelfletcher@hotmail.com
universidad de buenos aires,licenciatura en ciencias de la educación,2021-02-03,april,pierce,female,37,2132,aero club rosario,meghancervantes@yahoo.com
universidad de buenos aires,bioquímica,2020-09-10,donna,fisher,female,4,6600,kilometro 125,michelecurtis@yahoo.com
universidad de buenos aires,licenciatura en psicología,2021-01-24,travis,kelly,male,8,3183,albariño,carolynpadilla@gmail.com
universidad de buenos aires,técnico para bioterios,2021-03-11,,karen,female,15,2722,wheelwright,tanya62@gmail.com
universidad de buenos aires,farmacia,2021-12-25,samantha,travis,female,37,2763,flamenco,jesus42@hotmail.com
universidad de buenos aires,licenciatura en ciencias ambientales,2020-09-28,james,jones,male,95,1896,camino centenario km 11500,coledanielle@gmail.com
universidad de buenos aires,medicina,2021-07-15,sandra,vega,female,86,8319,campamento sol,ucannon@gmail.com
universidad de buenos aires,licenciatura en administración,2021-07-15,bobby,smith,male,33,5275,agua colorada,janet93@yahoo.com
universidad de buenos aires,licenciatura en ciencia política,2020-10-02,jaclyn,riley,female,93,6073,el triunfo,velazquezgregory@yahoo.com
universidad de buenos aires,licenciatura en artes,2020-11-03,joy,mendoza,female,37,5584,barrio villa adela,whitepamela@gmail.com
universidad de buenos aires,licenciatura en ciencias ambientales,2021-01-29,alejandro,horton,male,3,4713,ocho vados,elizabeth53@gmail.com
universidad de buenos aires,actuario,2021-05-13,jennifer,huerta,female,42,4158,campo de talamayo,gwoods@yahoo.com
universidad de buenos aires,licenciatura en ciencias de la educación,2021-03-23,craig,chavez,male,1,5350,el molle,mdavis@gmail.com
universidad de buenos aires,arquitectura,2021-08-27,jason,valdez,male,19,5438,alto de sierra,briancasey@yahoo.com
universidad de buenos aires,ingeniería electrónica,2020-10-14,jamie,macias,female,17,5835,bella vista,dianaknox@hotmail.com
universidad de buenos aires,licenciatura en psicología,2021-10-06,edward,johnson,male,15,1825,monte chingolo,austinevans@hotmail.com
universidad de buenos aires,actuario,2021-04-04,andrew,clark,male,9,3118,centro comunitario cnia nue,ygoodman@gmail.com
universidad de buenos aires,ingeniería en informática,2021-11-04,jonathan,gardner,male,59,2617,sancti spiritu,vmendoza@yahoo.com
universidad de buenos aires,agronomía,2021-02-10,kristi,graham,female,54,5341,anillaco,christina62@yahoo.com
universidad de buenos aires,licenciatura en gestión de agroalimentos,2021-04-30,,ivan,male,76,6645,la limpia,butlerlaurie@gmail.com
universidad de buenos aires,licenciatura en ciencias de la computación,2021-09-10,leslie,walters,female,11,1748,general rodriguez,richard73@gmail.com
